func,prec,N,K,incx,lda,order,uplo,transA,diag,useBuf,coldIters,hotIters,notes
tbmv,fp32,256,13,2,512,C,U,N,U,true,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,U,N,U,false,2,10,"K>N"
tbmv,fp32,4,1,1,5,C,U,N,U,false,2,10,"test"
tbmv,fp16,24,512,1,1024,C,U,N,U,false,2,10,"K>N"
tbmv,fp32,256,13,2,512,C,U,N,U,true,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,U,N,U,false,2,10,"K>N"
tbmv,fp32,24,512,1,1024,C,U,N,U,true,2,10,"K>N"
tbmv,fp32,25,0,1,25,C,U,N,U,true,2,10,"k=0"
tbmv,fp16,256,13,2,512,C,U,N,U,true,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,U,N,U,true,2,10,"K>N"
tbmv,fp16,25,0,1,25,C,U,N,U,true,2,10,"k=0"
tbmv,fp32,256,13,2,512,C,U,N,U,false,2,10,"reg"
tbmv,fp32,24,512,1,1024,C,U,N,U,false,2,10,"K>N"
tbmv,fp32,25,0,1,25,C,U,N,U,false,2,10,"k=0"
tbmv,fp16,256,13,2,512,C,U,N,U,false,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,U,N,U,false,2,10,"K>N"
tbmv,fp16,25,0,1,25,C,U,N,U,false,2,10,"k=0"
tbmv,fp32,256,13,2,512,C,L,N,U,true,2,10,"reg"
tbmv,fp32,24,512,1,1024,C,L,N,U,true,2,10,"K>N"
tbmv,fp32,25,0,1,25,C,L,N,U,true,2,10,"k=0"
tbmv,fp16,256,13,2,512,C,L,N,U,true,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,L,N,U,true,2,10,"K>N"
tbmv,fp16,25,0,1,25,C,L,N,U,true,2,10,"k=0"
tbmv,fp32,256,13,2,512,C,L,N,U,false,2,10,"reg"
tbmv,fp32,24,512,1,1024,C,L,N,U,false,2,10,"K>N"
tbmv,fp32,25,0,1,25,C,L,N,U,false,2,10,"k=0"
tbmv,fp16,256,13,2,512,C,L,N,U,false,2,10,"reg"
tbmv,fp16,24,512,1,1024,C,L,N,U,false,2,10,"K>N"
tbmv,fp16,25,0,1,25,C,L,N,U,false,2,10,"k=0"
tbmv,fp32,256,13,2,512,R,U,N,U,true,2,10,"reg"
tbmv,fp32,24,512,1,1024,R,U,N,U,true,2,10,"K>N"
tbmv,fp32,25,0,1,25,R,U,N,U,true,2,10,"k=0"
tbmv,fp16,256,13,2,512,R,U,N,U,true,2,10,"reg"
tbmv,fp16,24,512,1,1024,R,U,N,U,true,2,10,"K>N"
tbmv,fp16,25,0,1,25,R,U,N,U,true,2,10,"k=0"
tbmv,fp32,256,13,2,512,R,U,N,U,false,2,10,"reg"
tbmv,fp32,24,512,1,1024,R,U,N,U,false,2,10,"K>N"
tbmv,fp32,25,0,1,25,R,U,N,U,false,2,10,"k=0"
tbmv,fp16,256,13,2,512,R,U,N,U,false,2,10,"reg"
tbmv,fp16,24,512,1,1024,R,U,N,U,false,2,10,"K>N"
