func,prec,M,N,K,incx,incy,lda,ldb,ldc,ldd,alpha,beta,transA,transB,useBuf,coldIters,hotIters
rotmg,fp32,1,1,1,1,1,1,1,1,1,-2,1,C,N,N,false,2,10
rotmg,fp32,1,1,1,1,1,1,1,1,1,-2,1,C,N,N,true,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,-2,1,C,N,N,false,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,-2,1,C,N,N,true,2,10
rotmg,fp32,1,1,1,1,1,1,1,1,1,2,1,C,N,N,false,2,10
rotmg,fp32,1,1,1,1,1,1,1,1,1,2,1,C,N,N,true,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,2,1,C,N,N,false,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,2,1,C,N,N,true,2,10
rotmg,fp32,1,1,1,1,1,1,1,1,1,0,1,C,N,N,false,2,10
rotmg,fp32,1,1,1,1,1,1,1,1,1,0,1,C,N,N,true,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,0,1,C,N,N,false,2,10
rotmg,fp16,1,1,1,1,1,1,1,1,1,0,1,C,N,N,true,2,10
